port_call_id,date_key,port_key,terminal_key,vessel_key,carrier_key,ship_size_class_key,route_key,arrival_datetime,berth_datetime,departure_datetime,berth_waiting_hours,at_berth_hours,turnaround_hours,crane_moves_total,is_delayed,delay_hours,year,month
30,20220121,1,2,167,1,1,1,2022-01-21 18:37:00,2022-01-23 04:23:45,2022-01-25 03:25:27,33.78,33.64,80.81,0,1,13.39,2022,1
31,20220101,1,2,195,8,5,1,2022-01-01 18:02:00,2022-01-03 04:29:17,2022-01-04 11:58:32,34.45,31.49,65.94,729,0,0.0,2022,1
32,20220112,1,1,76,1,3,1,2022-01-12 18:16:00,2022-01-13 02:07:43,2022-01-14 10:51:12,7.86,32.72,40.59,0,0,0.0,2022,1
33,20220126,1,2,8,3,2,1,2022-01-26 15:56:00,2022-01-26 22:06:08,2022-01-28 04:04:17,6.17,29.97,36.14,834,0,0.0,2022,1
34,20220122,1,1,198,14,1,3,2022-01-22 21:25:00,2022-01-24 20:58:33,2022-01-25 16:13:54,47.56,19.26,66.82,772,0,0.0,2022,1
35,20220129,1,1,47,1,1,3,2022-01-29 15:29:00,2022-01-29 17:54:16,2022-01-30 19:34:26,2.42,24.88,28.09,0,1,0.79,2022,1
36,20220112,1,2,131,2,2,1,2022-01-12 23:55:00,2022-01-13 02:14:57,2022-01-14 15:49:07,2.33,37.57,39.9,691,0,0.0,2022,1
37,20220125,1,1,53,8,4,1,2022-01-25 03:20:00,2022-01-25 06:04:25,2022-01-26 20:56:38,2.74,34.43,41.61,586,1,4.44,2022,1
38,20220117,1,1,55,3,1,2,2022-01-17 01:18:00,2022-01-18 08:28:04,2022-01-19 23:44:37,31.17,39.28,70.44,0,0,0.0,2022,1
39,20220127,1,3,81,3,1,15,2022-01-27 05:52:00,2022-01-28 03:45:21,2022-01-29 23:15:59,21.89,43.51,65.4,0,0,0.0,2022,1
40,20220216,1,2,151,2,2,1,2022-02-16 15:32:00,2022-02-16 15:55:15,2022-02-17 11:22:26,0.39,19.45,19.84,0,0,0.0,2022,2
41,20220226,1,3,101,6,1,2,2022-02-26 12:32:00,2022-02-26 19:37:06,2022-02-28 12:52:49,7.09,41.26,48.35,0,0,0.0,2022,2
42,20220219,1,1,143,6,3,2,2022-02-19 09:31:00,2022-02-19 14:32:32,2022-02-20 23:12:36,5.03,32.67,37.69,331,0,0.0,2022,2
43,20220201,1,2,126,8,1,3,2022-02-01 00:54:00,2022-02-01 10:12:11,2022-02-03 05:26:09,9.3,39.89,52.54,0,1,3.34,2022,2
44,20220205,1,1,1,2,2,2,2022-02-05 12:23:00,2022-02-05 21:13:53,2022-02-07 14:39:05,8.85,34.79,50.27,703,1,6.63,2022,2
45,20220219,1,1,32,6,1,3,2022-02-19 09:04:00,2022-02-20 00:48:21,2022-02-21 03:18:06,15.74,26.5,42.24,548,0,0.0,2022,2
46,20220222,1,1,91,6,2,10,2022-02-22 19:43:00,2022-02-22 23:44:03,2022-02-24 12:37:09,4.02,36.88,40.9,0,0,0.0,2022,2
47,20220224,1,1,24,1,1,3,2022-02-24 10:35:00,2022-02-24 14:34:09,2022-02-25 09:58:05,3.99,19.4,23.38,0,0,0.0,2022,2
48,20220211,1,2,31,2,6,3,2022-02-11 16:02:00,2022-02-13 00:36:25,2022-02-14 19:35:48,32.57,32.27,75.56,728,1,10.72,2022,2
49,20220213,1,1,5,2,3,3,2022-02-13 14:09:00,2022-02-13 17:59:57,2022-02-15 13:10:04,3.85,43.17,47.02,0,0,0.0,2022,2
50,20220220,1,1,148,2,3,3,2022-02-20 05:25:00,2022-02-20 14:43:47,2022-02-22 09:53:42,9.31,43.17,52.48,505,0,0.0,2022,2
51,20220205,1,2,94,2,2,2,2022-02-05 16:34:00,2022-02-05 16:44:05,2022-02-07 14:01:55,0.17,45.3,45.47,0,0,0.0,2022,2
52,20220221,1,2,76,6,3,2,2022-02-21 10:43:00,2022-02-22 15:34:21,2022-02-25 04:23:09,28.86,44.15,89.67,0,1,16.67,2022,2
53,20220204,1,1,63,2,1,10,2022-02-04 22:40:00,2022-02-05 07:50:31,2022-02-07 09:26:10,9.18,34.79,58.77,0,1,14.8,2022,2
54,20220204,1,1,81,14,1,1,2022-02-04 18:36:00,2022-02-04 20:10:51,2022-02-07 15:01:28,1.58,51.9,68.42,0,1,14.94,2022,2
55,20220204,1,1,136,6,1,3,2022-02-04 23:39:00,2022-02-05 16:48:33,2022-02-06 19:13:52,17.16,26.42,43.58,0,0,0.0,2022,2
56,20220204,1,1,186,11,5,2,2022-02-04 18:44:00,2022-02-05 16:05:08,2022-02-07 04:37:02,21.35,31.51,57.88,466,1,5.02,2022,2
57,20220220,1,1,198,2,1,2,2022-02-20 22:13:00,2022-02-21 02:46:09,2022-02-22 14:47:10,4.55,36.02,40.57,240,0,0.0,2022,2
58,20220221,1,2,99,14,2,10,2022-02-21 23:46:00,2022-02-22 08:31:07,2022-02-24 05:03:39,8.75,38.58,53.29,0,1,5.96,2022,2
59,20220218,1,1,66,2,1,2,2022-02-18 21:30:00,2022-02-20 08:31:15,2022-02-22 13:33:43,35.02,53.04,88.06,0,0,0.0,2022,2
60,20220218,1,1,170,1,1,15,2022-02-18 10:34:00,2022-02-18 20:13:37,2022-02-20 12:16:32,9.66,40.05,49.71,0,0,0.0,2022,2
61,20220216,1,2,11,8,1,1,2022-02-16 22:16:00,2022-02-18 01:29:57,2022-02-19 05:07:28,27.23,27.63,54.86,0,0,0.0,2022,2
62,20220209,1,1,95,2,1,3,2022-02-09 07:19:00,2022-02-10 10:24:49,2022-02-11 21:13:46,27.1,34.82,61.91,0,0,0.0,2022,2
63,20220218,1,2,82,8,5,1,2022-02-18 15:22:00,2022-02-18 15:36:58,2022-02-19 18:24:45,0.25,26.8,27.05,598,0,0.0,2022,2
64,20220222,1,3,196,8,2,3,2022-02-22 18:43:00,2022-02-24 04:12:53,2022-02-25 07:41:16,33.5,27.47,60.97,0,0,0.0,2022,2
65,20220202,1,3,147,3,1,3,2022-02-02 04:18:00,2022-02-03 03:40:06,2022-02-04 15:15:11,23.37,28.09,58.95,0,1,7.49,2022,2
66,20220221,1,3,124,1,3,15,2022-02-21 20:16:00,2022-02-22 12:18:05,2022-02-23 11:49:52,16.03,23.53,39.56,0,0,0.0,2022,2
67,20220204,1,1,194,11,5,3,2022-02-04 17:44:00,2022-02-04 21:40:00,2022-02-06 09:00:02,3.93,34.29,39.27,613,1,1.04,2022,2
68,20220212,1,1,133,8,3,2,2022-02-12 01:42:00,2022-02-12 22:34:57,2022-02-13 17:42:30,20.88,19.13,40.01,0,0,0.0,2022,2
69,20220207,1,1,120,2,3,2,2022-02-07 10:45:00,2022-02-09 09:35:56,2022-02-10 16:17:11,46.85,30.69,77.54,0,0,0.0,2022,2
70,20220215,1,2,186,1,5,15,2022-02-15 05:26:00,2022-02-15 12:32:34,2022-02-17 00:58:12,7.11,36.43,43.54,244,0,0.0,2022,2
71,20220207,1,3,126,6,1,3,2022-02-07 09:20:00,2022-02-07 12:09:32,2022-02-09 13:36:12,2.83,36.97,52.27,0,1,12.48,2022,2
72,20220222,1,1,84,8,4,1,2022-02-22 07:34:00,2022-02-22 12:26:42,2022-02-24 09:25:44,4.88,44.98,49.86,827,0,0.0,2022,2
73,20220226,1,3,151,1,2,15,2022-02-26 13:56:00,2022-02-26 21:30:36,2022-02-27 21:56:57,7.58,24.44,32.02,0,0,0.0,2022,2
74,20220221,1,3,27,1,1,10,2022-02-21 15:11:00,2022-02-22 00:54:27,2022-02-23 08:59:30,9.72,32.08,41.81,0,0,0.0,2022,2
75,20220217,1,3,156,14,4,10,2022-02-17 00:19:00,2022-02-17 04:07:53,2022-02-18 13:19:35,3.81,33.19,37.01,673,0,0.0,2022,2
76,20220216,1,1,2,14,1,2,2022-02-16 20:34:00,2022-02-16 22:09:47,2022-02-19 00:05:04,1.6,49.92,51.52,574,0,0.0,2022,2
77,20220228,1,3,41,1,4,3,2022-02-28 08:12:00,2022-02-28 12:22:29,2022-03-02 04:16:38,4.17,39.9,44.08,775,0,0.0,2022,2
78,20220219,1,1,57,8,2,1,2022-02-19 22:11:00,2022-02-20 02:01:01,2022-02-21 17:25:37,3.83,22.1,43.24,0,1,17.31,2022,2
79,20220303,1,1,96,2,1,3,2022-03-03 06:11:00,2022-03-03 06:44:45,2022-03-04 15:55:47,0.56,33.18,33.75,0,0,0.0,2022,3
80,20220323,1,2,100,3,5,3,2022-03-23 10:05:00,2022-03-23 19:10:43,2022-03-25 00:10:10,9.1,28.99,38.09,190,0,0.0,2022,3
81,20220320,1,1,94,14,2,3,2022-03-20 07:00:00,2022-03-20 21:31:20,2022-03-22 19:13:00,14.52,45.69,60.22,0,0,0.0,2022,3
82,20220329,1,1,175,8,4,15,2022-03-29 09:37:00,2022-03-29 10:36:08,2022-03-31 05:36:08,0.99,43.0,43.99,453,0,0.0,2022,3
83,20220313,1,1,57,6,2,1,2022-03-13 01:42:00,2022-03-13 03:58:31,2022-03-15 11:43:35,2.28,55.41,58.03,0,1,0.34,2022,3
84,20220308,1,1,148,3,3,3,2022-03-08 22:49:00,2022-03-09 02:54:14,2022-03-10 11:28:39,4.09,32.57,36.66,223,0,0.0,2022,3
85,20220325,1,1,159,14,4,2,2022-03-25 19:14:00,2022-03-25 23:45:37,2022-03-27 03:33:17,4.53,22.29,32.32,637,1,5.51,2022,3
86,20220307,1,1,10,1,2,1,2022-03-07 19:23:00,2022-03-08 12:04:41,2022-03-09 23:38:08,16.69,35.56,52.25,496,0,0.0,2022,3
87,20220324,1,1,92,6,3,3,2022-03-24 21:52:00,2022-03-25 02:32:56,2022-03-27 07:42:27,4.68,41.28,57.84,492,1,11.88,2022,3
88,20220308,1,1,90,8,1,10,2022-03-08 02:33:00,2022-03-08 12:03:45,2022-03-09 17:28:44,9.51,29.42,38.93,396,0,0.0,2022,3
89,20220318,1,2,29,1,6,1,2022-03-18 01:53:00,2022-03-18 03:06:47,2022-03-19 14:50:32,1.23,35.73,36.96,620,0,0.0,2022,3
90,20220309,1,1,85,6,2,2,2022-03-09 10:54:00,2022-03-09 15:04:07,2022-03-11 00:37:37,4.17,33.56,37.73,0,0,0.0,2022,3
91,20220306,1,1,161,2,1,3,2022-03-06 02:57:00,2022-03-06 07:36:52,2022-03-07 20:32:37,4.66,36.93,41.59,206,0,0.0,2022,3
92,20220327,1,2,20,3,3,3,2022-03-27 14:36:00,2022-03-27 23:26:54,2022-03-29 06:06:20,8.85,22.25,39.51,0,1,8.4,2022,3
93,20220304,1,1,33,11,1,10,2022-03-04 12:16:00,2022-03-05 08:57:55,2022-03-06 07:25:59,20.7,22.47,43.17,0,0,0.0,2022,3
94,20220315,1,2,94,6,2,2,2022-03-15 11:44:00,2022-03-15 17:18:00,2022-03-17 19:42:30,5.57,42.37,55.98,0,1,8.04,2022,3
95,20220305,1,3,122,14,6,2,2022-03-05 15:02:00,2022-03-06 05:39:16,2022-03-07 13:48:39,14.62,32.16,46.78,335,0,0.0,2022,3
96,20220326,1,1,36,1,4,1,2022-03-26 23:41:00,2022-03-27 20:50:42,2022-03-29 12:04:58,21.16,39.24,60.4,886,0,0.0,2022,3
97,20220305,1,1,76,11,3,3,2022-03-05 12:24:00,2022-03-05 13:15:08,2022-03-07 13:19:29,0.85,46.07,48.92,0,1,2.0,2022,3
98,20220307,1,3,56,11,2,2,2022-03-07 11:07:00,2022-03-07 16:27:41,2022-03-09 07:08:00,5.34,34.87,44.02,0,1,3.8,2022,3
99,20220330,1,1,194,6,5,1,2022-03-30 07:53:00,2022-03-31 18:47:22,2022-04-02 09:20:27,34.91,26.34,73.46,764,1,12.21,2022,3
100,20220309,1,1,76,2,3,3,2022-03-09 17:27:00,2022-03-10 05:32:28,2022-03-12 00:57:54,12.09,43.42,55.52,0,0,0.0,2022,3
101,20220307,1,2,105,2,3,2,2022-03-07 08:12:00,2022-03-07 10:38:29,2022-03-09 12:34:24,2.44,49.93,52.37,474,0,0.0,2022,3
102,20220309,1,2,136,1,1,10,2022-03-09 13:39:00,2022-03-09 19:03:01,2022-03-11 06:14:18,5.4,35.19,40.59,0,0,0.0,2022,3
103,20220320,1,3,103,1,1,2,2022-03-20 03:38:00,2022-03-20 06:26:26,2022-03-22 18:37:42,2.81,50.48,63.0,0,1,9.71,2022,3
104,20220310,1,2,132,8,1,2,2022-03-10 23:02:00,2022-03-11 04:51:16,2022-03-12 15:05:09,5.82,34.23,40.05,0,0,0.0,2022,3
105,20220330,1,1,54,2,3,1,2022-03-30 01:08:00,2022-03-30 15:38:56,2022-04-01 11:54:15,14.52,44.26,58.77,0,0,0.0,2022,3
106,20220326,1,1,70,11,4,10,2022-03-26 10:36:00,2022-03-26 12:15:04,2022-03-28 06:05:35,1.65,41.84,43.49,784,0,0.0,2022,3
107,20220304,1,2,93,2,4,2,2022-03-04 04:42:00,2022-03-04 08:57:03,2022-03-06 03:03:21,4.25,42.1,46.36,517,0,0.0,2022,3
108,20220306,1,1,173,2,4,3,2022-03-06 18:56:00,2022-03-06 22:05:36,2022-03-08 23:49:45,3.16,49.74,52.9,753,0,0.0,2022,3
109,20220324,1,1,143,8,3,1,2022-03-24 01:22:00,2022-03-24 18:13:19,2022-03-27 08:33:26,16.86,62.34,79.19,358,0,0.0,2022,3
110,20220314,1,2,63,11,1,3,2022-03-14 13:26:00,2022-03-15 03:41:14,2022-03-16 22:16:23,14.25,29.8,56.84,0,1,12.79,2022,3
111,20220309,1,1,169,8,1,1,2022-03-09 07:19:00,2022-03-09 23:04:36,2022-03-11 11:55:53,15.76,36.85,52.61,505,0,0.0,2022,3
112,20220301,1,1,183,6,2,2,2022-03-01 13:26:00,2022-03-01 23:44:14,2022-03-04 03:07:37,10.3,51.39,61.69,535,0,0.0,2022,3
113,20220317,1,1,195,2,5,2,2022-03-17 20:05:00,2022-03-18 03:38:00,2022-03-20 04:00:02,7.55,48.37,55.92,291,0,0.0,2022,3
114,20220313,1,2,9,1,2,1,2022-03-13 06:03:00,2022-03-13 08:37:11,2022-03-14 06:32:47,2.57,21.93,24.5,522,0,0.0,2022,3
115,20220324,1,2,90,6,1,10,2022-03-24 06:51:00,2022-03-24 22:59:36,2022-03-26 17:08:25,16.14,42.15,58.29,887,0,0.0,2022,3
116,20220327,1,2,1,6,2,3,2022-03-27 10:19:00,2022-03-27 14:13:10,2022-03-29 11:54:00,3.9,45.68,49.58,589,0,0.0,2022,3
117,20220307,1,1,100,14,5,15,2022-03-07 03:47:00,2022-03-07 17:57:54,2022-03-08 23:01:05,14.18,29.05,43.23,727,0,0.0,2022,3
118,20220309,1,1,45,2,5,3,2022-03-09 06:25:00,2022-03-09 21:14:56,2022-03-11 17:04:46,14.83,43.83,58.66,518,0,0.0,2022,3
119,20220311,1,2,127,8,3,3,2022-03-11 17:41:00,2022-03-12 00:40:55,2022-03-14 02:53:07,7.0,50.2,57.2,415,0,0.0,2022,3
120,20220303,1,1,152,6,1,3,2022-03-03 03:51:00,2022-03-04 06:54:55,2022-03-05 22:13:57,27.07,39.32,66.38,0,0,0.0,2022,3
121,20220326,1,1,59,11,2,15,2022-03-26 11:20:00,2022-03-26 15:21:50,2022-03-27 15:23:48,4.03,24.03,28.06,348,0,0.0,2022,3
122,20220312,1,2,56,2,2,2,2022-03-12 08:35:00,2022-03-12 09:20:24,2022-03-13 19:12:58,0.76,33.88,34.63,0,0,0.0,2022,3
123,20220321,1,2,90,3,1,2,2022-03-21 10:14:00,2022-03-22 12:14:10,2022-03-23 19:49:36,26.0,31.59,57.59,507,0,0.0,2022,3
124,20220303,1,2,199,6,4,1,2022-03-03 21:21:00,2022-03-04 04:11:36,2022-03-05 14:34:03,6.84,34.37,41.22,608,0,0.0,2022,3
125,20220315,1,2,198,14,1,3,2022-03-15 15:29:00,2022-03-15 19:29:10,2022-03-17 15:37:21,4.0,38.72,48.14,579,1,5.42,2022,3
126,20220321,1,2,126,1,1,1,2022-03-21 15:11:00,2022-03-21 23:21:30,2022-03-23 21:36:47,8.18,46.25,54.43,0,0,0.0,2022,3
127,20220310,1,1,99,6,2,2,2022-03-10 01:53:00,2022-03-10 05:44:54,2022-03-11 13:58:37,3.87,32.23,36.09,0,0,0.0,2022,3
128,20220402,1,3,196,8,2,1,2022-04-02 13:08:00,2022-04-03 05:48:40,2022-04-04 09:51:32,16.68,28.05,44.73,0,0,0.0,2022,4
129,20220414,1,1,122,8,6,2,2022-04-14 16:29:00,2022-04-15 01:13:31,2022-04-16 12:27:24,8.74,35.23,43.97,988,0,0.0,2022,4
130,20220414,1,2,131,8,2,1,2022-04-14 15:42:00,2022-04-14 16:27:07,2022-04-16 13:48:43,0.75,45.36,46.11,678,0,0.0,2022,4
131,20220404,1,1,54,6,3,2,2022-04-04 16:46:00,2022-04-04 18:43:59,2022-04-06 20:18:09,1.97,49.57,51.54,0,0,0.0,2022,4
132,20220417,1,3,118,1,1,10,2022-04-17 21:27:00,2022-04-18 08:21:05,2022-04-19 16:40:24,10.9,32.32,43.22,0,0,0.0,2022,4
133,20220415,1,3,129,1,2,2,2022-04-15 04:15:00,2022-04-15 11:47:41,2022-04-16 19:21:10,7.54,28.23,39.1,0,1,3.33,2022,4
134,20220416,1,1,180,11,2,3,2022-04-16 12:05:00,2022-04-16 21:27:02,2022-04-17 18:32:09,9.37,21.09,30.45,536,0,0.0,2022,4
135,20220405,1,1,44,6,6,15,2022-04-05 07:19:00,2022-04-05 08:20:42,2022-04-06 17:57:04,1.03,33.61,34.63,311,0,0.0,2022,4
136,20220424,1,2,162,6,5,10,2022-04-24 01:05:00,2022-04-25 03:43:47,2022-04-26 22:44:05,26.65,43.0,69.65,919,0,0.0,2022,4
137,20220417,1,1,129,6,2,3,2022-04-17 22:10:00,2022-04-17 22:55:57,2022-04-19 00:07:15,0.77,20.98,25.95,0,1,4.21,2022,4
138,20220423,1,2,143,6,3,2,2022-04-23 03:57:00,2022-04-23 09:48:52,2022-04-25 10:27:14,5.86,48.64,54.5,513,0,0.0,2022,4
139,20220407,1,1,187,2,3,1,2022-04-07 18:30:00,2022-04-07 20:43:53,2022-04-09 14:57:02,2.23,42.22,44.45,0,0,0.0,2022,4
140,20220423,1,3,90,8,1,3,2022-04-23 17:36:00,2022-04-24 04:39:51,2022-04-25 15:59:07,11.06,35.32,46.39,531,0,0.0,2022,4
141,20220415,1,1,194,11,5,2,2022-04-15 06:37:00,2022-04-15 21:21:46,2022-04-19 09:10:49,14.75,40.78,98.56,551,1,43.04,2022,4
142,20220417,1,2,192,11,1,15,2022-04-17 09:10:00,2022-04-17 14:05:11,2022-04-19 00:18:26,4.92,34.22,39.14,0,0,0.0,2022,4
143,20220412,1,2,72,11,3,10,2022-04-12 17:21:00,2022-04-13 20:51:07,2022-04-15 20:06:03,27.5,47.25,74.75,411,0,0.0,2022,4
144,20220411,1,2,97,11,4,10,2022-04-11 02:32:00,2022-04-11 18:36:46,2022-04-13 06:18:18,16.08,35.69,51.77,461,0,0.0,2022,4
145,20220419,1,1,104,1,1,2,2022-04-19 02:21:00,2022-04-20 08:11:11,2022-04-21 16:00:36,29.84,31.82,61.66,0,0,0.0,2022,4
146,20220411,1,2,47,6,1,15,2022-04-11 10:01:00,2022-04-11 10:10:09,2022-04-12 17:56:09,0.15,31.77,31.92,0,0,0.0,2022,4
147,20220402,1,2,7,3,3,2,2022-04-02 17:24:00,2022-04-02 22:01:43,2022-04-03 19:42:02,4.63,21.67,26.3,0,0,0.0,2022,4
148,20220415,1,2,183,8,2,2,2022-04-15 19:18:00,2022-04-15 21:23:36,2022-04-17 13:27:41,2.09,40.07,42.16,361,0,0.0,2022,4
149,20220405,1,2,34,1,1,2,2022-04-05 22:50:00,2022-04-06 02:31:56,2022-04-07 08:10:36,3.7,29.64,33.34,0,0,0.0,2022,4
150,20220418,1,2,26,2,2,2,2022-04-18 00:19:00,2022-04-18 10:11:00,2022-04-20 05:36:00,9.87,43.42,53.28,0,0,0.0,2022,4
151,20220429,1,2,185,1,2,2,2022-04-29 13:28:00,2022-04-30 21:58:31,2022-05-02 12:42:13,32.51,38.73,71.24,0,0,0.0,2022,4
152,20220430,1,1,143,1,3,2,2022-04-30 17:05:00,2022-05-01 04:10:20,2022-05-02 13:42:04,11.09,33.53,44.62,861,0,0.0,2022,4
153,20220421,1,2,4,11,2,2,2022-04-21 13:24:00,2022-04-22 00:28:13,2022-04-23 05:17:33,11.07,28.82,39.89,620,0,0.0,2022,4
154,20220421,1,2,98,6,4,15,2022-04-21 07:36:00,2022-04-21 18:51:30,2022-04-22 16:23:35,11.26,21.53,32.79,364,0,0.0,2022,4
155,20220416,1,2,24,1,1,2,2022-04-16 08:31:00,2022-04-16 15:16:04,2022-04-18 23:06:11,6.75,39.3,62.59,0,1,16.53,2022,4
156,20220404,1,1,180,2,2,2,2022-04-04 02:23:00,2022-04-04 03:32:16,2022-04-05 18:03:22,1.15,38.52,39.67,686,0,0.0,2022,4
157,20220427,1,1,81,6,1,3,2022-04-27 06:29:00,2022-04-27 09:12:35,2022-04-29 07:01:16,2.73,32.15,48.54,0,1,13.66,2022,4
158,20220423,1,1,94,14,2,2,2022-04-23 19:24:00,2022-04-24 03:43:08,2022-04-25 06:50:34,8.32,27.12,35.44,0,0,0.0,2022,4
159,20220410,1,1,141,2,6,1,2022-04-10 20:38:00,2022-04-12 20:36:34,2022-04-14 03:46:53,47.98,28.43,79.15,663,1,2.75,2022,4
160,20220422,1,1,7,14,3,2,2022-04-22 10:11:00,2022-04-22 22:52:01,2022-04-24 01:41:23,12.68,26.82,39.51,0,0,0.0,2022,4
161,20220402,1,3,34,2,1,1,2022-04-02 15:36:00,2022-04-03 08:23:31,2022-04-04 03:42:51,16.79,19.32,36.11,0,0,0.0,2022,4
162,20220415,1,1,14,2,2,1,2022-04-15 11:07:00,2022-04-17 01:02:07,2022-04-18 19:27:23,37.92,42.42,80.34,0,0,0.0,2022,4
163,20220404,1,1,111,14,2,2,2022-04-04 17:01:00,2022-04-04 19:32:53,2022-04-05 21:50:34,2.53,26.29,28.83,0,0,0.0,2022,4
164,20220429,1,1,194,8,5,3,2022-04-29 09:53:00,2022-04-29 15:37:17,2022-05-01 07:57:56,5.74,40.34,46.08,834,0,0.0,2022,4
165,20220416,1,2,30,11,5,3,2022-04-16 15:08:00,2022-04-16 20:16:55,2022-04-17 23:45:54,5.15,27.48,32.63,1040,0,0.0,2022,4
166,20220430,1,1,141,6,6,1,2022-04-30 12:04:00,2022-05-02 12:25:33,2022-05-03 19:50:16,48.36,31.41,79.77,611,0,0.0,2022,4
167,20220427,1,2,145,6,2,3,2022-04-27 22:26:00,2022-04-28 15:54:27,2022-04-30 10:30:38,17.47,42.6,60.08,406,0,0.0,2022,4
